dis_local,lat_x,lon_y
1,19.238151381215104,-103.71025601917594
2,19.23326994759892,-103.75069411224025
3,19.160744555157965,-103.56721758704256
4,19.262827049341666,-103.72907585009125
5,19.21005813836546,-103.81380890290367
6,19.39661174849805,-103.61007362132698
7,19.28497939844501,-103.75525459331672
8,19.25196192341015,-103.7497251974841
9,19.0475639915323,-104.28430253196184
10,18.91212827528286,-103.88094848507454
11,19.117978799342612,-104.34550748801576
12,19.089252214207185,-104.30993929507173
13,19.052812906783583,-104.32133160488948
14,19.072082383534248,-104.30176483768656
15,18.945362041840106,-103.9155815193873
16,18.910427852158637,-103.86951307705793
